#{"t_start": 1695647713.2101433, "env_id": null}
r,l,t
44.987071,5,25.864173
3.0,1,31.229149
3.0,1,36.599195
10.537467,3,49.714805
3.0,1,55.297391
21.150903,3,68.196192
3.0,1,73.413526
3.0,1,78.979132
3.0,1,84.780154
3.0,1,90.297305
14.499108,2,99.480746
3.0,1,104.941078
3.0,1,110.650588
15.998145,2,119.946636
35.666574,4,136.217805
9.370517,2,145.378379
3.0,1,151.144873
7.358005,2,160.229303
12.644632,2,169.512934
3.0,1,175.281882
3.0,1,180.602076
9.28021,2,189.513206
3.084067,1,195.012819
3.0,1,200.511523
25.26881,3,213.597482
3.0,1,219.263401
15.848954,2,228.712763
12.868695,2,237.78465
15.807418,2,246.879959
15.254599,2,256.114418
3.0,1,261.801717
3.0,1,267.346422
3.0,1,272.753585
3.0,1,278.39416
3.0,1,283.87747
19.928725,2,293.544641
66.253858,2,302.625518
3.0,1,308.228262
12.245229,2,317.646692
27.764529,3,330.778082
3.0,1,336.210386
6.684583,2,345.460763
8.091372,2,354.659468
22.522286,3,367.300007
3.0,1,372.818699
14.328955,2,381.660837
3.0,1,387.097987
3.0,1,392.083659
15.419762,2,401.449369
3.0,1,407.161048
3.0,1,412.693174
3.0,1,418.326387
23.213296,3,431.144769
7.95084,2,440.399606
10.850106,2,449.512503
22.006382,3,462.711996
12.175104,2,472.227599
15.130076,2,481.160213
15.125589,2,494.913327
29.161413,4,520.951395
33.538613,4,546.50974
26.634224,3,565.325625
9.228044,2,578.677188
17.779227,3,598.875911
43.051451,5,631.942231
46.909584,5,663.577447
17.877354,3,682.274599
17.880346,3,701.041957
11.710356,2,714.276851
3.0,1,722.093837
3.0,1,730.091393
15.935597,2,743.808957
3.0,1,751.675476
3.0,1,759.125366
3.0,1,767.325514
3.0,1,775.825652
3.0,1,783.741902
14.028196,2,797.406571
38.148905,5,828.958965
3.0,1,837.25701
3.0,1,845.141566
3.0,1,853.191103
3.0,1,861.623755
23.823213,3,881.747978
13.791437,2,895.759191
3.0,1,904.04149
22.131725,3,923.574008
17.769271,3,941.990367
15.391622,2,956.574807
11.818034,2,969.841121
3.0,1,977.581694
15.895056,2,990.600479
3.0,1,998.959621
3.0,1,1006.889492
11.904986,2,1020.755172
30.537876,4,1046.756589
15.773831,2,1060.975736
41.958391,6,1097.597185
3.0,1,1105.623679
3.0,1,1113.43921
28.956268,3,1132.57513
21.814082,3,1152.489292
18.603349,3,1172.472919
47.757757,6,1210.538802
3.0,1,1218.23826
3.0,1,1226.162463
